Time(s),ChangePercentage
270.98,0.00
271.18,0.39
271.38,0.00
271.58,0.39
271.78,0.00
271.98,0.40
272.18,0.00
272.38,0.38
272.58,0.00
272.78,0.38
272.98,0.00
273.18,0.39
273.38,0.00
273.58,0.39
273.78,0.00
273.98,0.00
274.18,0.38
274.38,0.00
274.58,0.39
274.78,0.00
274.98,0.40
275.18,0.00
275.38,0.40
275.58,0.00
275.78,0.39
275.98,0.00
276.18,0.39
276.38,0.00
276.58,0.40
276.78,0.00
276.98,0.40
277.18,0.00
277.38,0.39
277.58,0.00
277.78,0.38
277.98,0.00
278.18,0.38
278.38,0.00
278.58,8.06
278.78,0.00
278.98,0.00
279.18,0.39
279.38,0.00
279.58,0.38
279.78,0.00
279.98,0.38
280.18,0.00
280.38,0.38
280.58,0.00
280.78,0.39
280.98,0.00
281.18,0.40
281.38,0.00
281.58,0.40
281.78,0.00
281.98,0.39
282.18,0.00
282.38,0.39
282.58,0.00
282.78,0.40
282.98,0.00
283.18,0.39
283.38,0.00
283.58,0.38
283.78,0.00
283.98,0.00
284.18,0.39
284.38,0.00
284.58,0.39
284.78,0.00
284.98,0.40
285.18,0.00
285.38,0.40
285.58,0.00
285.78,0.40
285.98,0.00
286.18,0.39
286.38,0.00
286.58,0.39
286.78,0.00
286.98,0.40
287.18,0.00
287.38,0.40
287.58,0.00
287.78,0.39
287.98,0.00
288.18,0.38
288.38,0.00
288.58,0.00
288.78,0.39
288.98,0.00
289.18,0.39
289.38,0.00
289.58,0.39
289.78,0.00
289.98,0.39
290.18,0.00
290.38,0.39
290.58,0.00
290.78,0.39
290.98,0.00
291.18,0.39
291.38,0.00
291.58,0.39
291.78,0.00
291.98,10.80
292.18,0.01
292.38,0.38
292.58,0.00
292.78,0.39
292.98,0.00
293.18,0.00
293.38,0.40
293.58,0.40
293.78,0.00
293.98,0.00
294.18,0.40
294.38,0.00
294.58,0.38
294.78,0.00
294.98,0.39
295.18,0.00
295.38,0.40
295.58,0.01
295.78,0.38
295.98,0.00
296.18,0.38
296.38,0.00
296.58,0.38
296.78,0.00
296.98,0.38
297.18,0.00
297.38,0.38
297.58,0.00
297.78,0.38
297.98,0.00
298.18,0.00
298.38,0.39
298.58,0.00
298.78,0.40
298.98,0.00
299.18,0.39
299.38,0.00
299.58,0.40
299.78,0.01
299.98,0.40
300.18,0.00
300.38,0.39
300.58,0.00
300.78,0.39
300.98,0.00
301.18,0.40
301.38,0.00
301.58,0.40
301.78,0.00
301.98,0.40
302.18,0.00
302.38,0.40
302.58,0.00
302.78,0.39
302.98,0.00
303.18,0.39
303.38,0.00
303.58,0.00
303.78,0.40
303.98,0.01
304.18,0.39
304.38,0.00
304.58,0.38
304.78,0.00
304.98,0.39
305.18,0.00
305.38,0.39
305.58,0.00
305.78,0.39
305.98,0.00
306.18,0.39
306.38,0.00
306.58,0.39
306.78,0.00
306.98,0.40
307.18,0.00
307.38,0.38
307.58,0.00
307.78,0.38
307.98,0.00
308.18,0.39
308.38,0.00
308.58,0.00
308.78,0.19
308.98,0.00
309.18,0.00
309.38,0.00
309.58,0.00
309.78,3.07
309.98,8.48
310.18,6.18
310.38,3.22
310.58,3.24
310.78,2.38
310.98,1.68
311.18,0.93
311.38,0.22
311.58,0.09
311.78,0.01
311.98,0.00
312.18,0.00
312.38,0.00
312.58,0.00
312.78,0.00
312.98,0.00
313.18,0.00
313.38,0.00
313.58,0.00
313.78,0.00
313.98,0.00
314.18,0.00
314.38,0.00
314.58,0.00
314.78,0.00
314.98,0.00
315.18,0.00
315.38,0.00
315.58,0.09
315.78,0.22
315.98,0.43
316.18,0.72
316.38,1.09
316.58,1.42
316.78,3.96
316.98,11.22
317.18,5.80
317.38,0.23
317.58,0.00
317.78,0.00
