Video Analysis Log - prema
Video Duration: 269.07 seconds
Change Threshold: 4.0%
Start Time: 2s
==================================================


>>> INITIAL SCREENSHOT A CAPTURED at 2.2s
Time 134.2s: 0.0% different
Time 134.4s: 0.3% different
Time 134.6s: 0.3% different
Time 134.8s: 0.0% different
Time 135.0s: 0.3% different
Time 135.2s: 13.6% different

>>> SCREENSHOT A CAPTURED at 135.2s (13.6% >= 4.0%)
Time 135.4s: 0.0% different
Time 135.6s: 0.3% different
Time 135.8s: 0.3% different
Time 136.0s: 0.0% different
Time 136.2s: 0.3% different
Time 136.4s: 0.3% different
Time 136.6s: 0.0% different
Time 136.8s: 0.3% different
Time 137.0s: 0.3% different
Time 137.2s: 0.3% different
Time 137.4s: 0.0% different
Time 137.6s: 0.3% different
Time 137.8s: 0.0% different
Time 138.0s: 0.3% different
Time 138.2s: 0.3% different
Time 138.4s: 0.0% different
Time 138.6s: 0.3% different
Time 138.8s: 0.3% different
Time 139.0s: 0.3% different
Time 139.2s: 0.0% different
Time 139.4s: 0.3% different
Time 139.6s: 0.3% different
Time 139.8s: 0.0% different
Time 140.0s: 13.2% different

>>> SCREENSHOT A CAPTURED at 140.0s (13.2% >= 4.0%)
Time 140.2s: 0.3% different
Time 140.4s: 0.0% different
Time 140.6s: 0.3% different
Time 140.8s: 0.3% different
Time 141.0s: 0.0% different
Time 141.2s: 0.3% different
Time 141.4s: 0.3% different
Time 141.6s: 0.0% different
Time 141.8s: 0.3% different
Time 142.0s: 0.3% different
Time 142.2s: 0.0% different
Time 142.4s: 0.3% different
Time 142.6s: 0.3% different
Time 142.8s: 0.0% different
Time 143.0s: 0.3% different
Time 143.2s: 0.3% different
Time 143.4s: 0.0% different
Time 143.6s: 0.3% different
Time 143.8s: 0.3% different
Time 144.0s: 0.0% different
Time 144.2s: 0.3% different
Time 144.4s: 0.3% different
Time 144.6s: 0.0% different
Time 144.8s: 0.3% different
Time 145.0s: 0.3% different
Time 145.2s: 0.0% different
Time 145.4s: 0.3% different
Time 145.6s: 0.3% different
Time 145.8s: 0.0% different
Time 146.0s: 0.3% different
Time 146.2s: 0.3% different
Time 146.4s: 0.0% different
Time 146.6s: 0.3% different
Time 146.8s: 0.3% different
Time 147.0s: 0.3% different
Time 147.2s: 0.0% different
Time 147.4s: 0.3% different
Time 147.6s: 0.3% different
Time 147.8s: 0.2% different
Time 148.0s: 0.3% different
Time 148.2s: 0.0% different
Time 148.4s: 0.3% different
Time 148.6s: 0.3% different
Time 148.8s: 0.3% different
Time 149.0s: 0.0% different
Time 149.2s: 0.3% different
Time 149.4s: 0.3% different
Time 149.6s: 0.0% different
Time 149.8s: 0.3% different
Time 150.0s: 0.3% different
Time 150.2s: 0.0% different
Time 150.4s: 0.3% different
Time 150.6s: 0.3% different
Time 150.8s: 0.0% different
Time 151.0s: 0.3% different
Time 151.2s: 0.3% different
Time 151.4s: 0.0% different
Time 151.6s: 0.3% different
Time 151.8s: 11.4% different

>>> SCREENSHOT A CAPTURED at 151.8s (11.4% >= 4.0%)
Time 152.0s: 0.0% different
Time 152.2s: 0.3% different
Time 152.4s: 0.3% different
Time 152.6s: 0.0% different
Time 152.8s: 0.3% different
Time 153.0s: 0.3% different
Time 153.2s: 0.0% different
Time 153.4s: 0.3% different
Time 153.6s: 0.3% different
Time 153.8s: 0.0% different
Time 154.0s: 0.3% different
Time 154.2s: 11.9% different

>>> SCREENSHOT A CAPTURED at 154.2s (11.9% >= 4.0%)
Time 154.4s: 0.0% different
Time 154.6s: 0.3% different
Time 154.8s: 0.3% different
Time 155.0s: 0.0% different
Time 155.2s: 0.3% different
Time 155.4s: 0.3% different
Time 155.6s: 0.0% different
Time 155.8s: 0.3% different
Time 156.0s: 0.3% different
Time 156.2s: 0.3% different
Time 156.4s: 0.0% different
Time 156.6s: 0.3% different
Time 156.8s: 0.3% different
Time 157.0s: 0.0% different
Time 157.2s: 0.3% different
Time 157.4s: 0.0% different
Time 157.6s: 0.3% different
Time 157.8s: 0.3% different
Time 158.0s: 0.0% different
Time 158.2s: 0.3% different
Time 158.4s: 0.3% different
Time 158.6s: 0.3% different
Time 158.8s: 0.0% different
Time 159.0s: 0.3% different
Time 159.2s: 0.3% different
Time 159.4s: 0.0% different
Time 159.6s: 0.3% different
Time 159.8s: 0.3% different
Time 160.0s: 0.0% different
